state_abbreviation,tax_code,unique_tax_id,tax_name,sub_tax_desc
PA,TAX437,42-083-1215429-LST-420803,"Bradford, City of - LST",MUNICIPAL
PA,TAX437,42-083-1215429-LST-420803,"Bradford, City of - LST",SCHOOL
PA,TAX359,42-033-1216224-LST-175003,"Bigler, TWP of - LST",MUNICIPAL
PA,TAX359,42-033-1216224-LST-175003,"Bigler, TWP of - LST",SCHOOL
PA,TAX1966,42-077-1216688-EIT-394603,"Heidelberg, TWP of - EIT (394603)",MUNICIPAL
PA,TAX1966,42-077-1216688-EIT-394603,"Heidelberg, TWP of - EIT (394603)",SCHOOL
PA,TAX823,42-065-1216558-EIT-330803,"Clover, TWP of - EIT",MUNICIPAL
PA,TAX823,42-065-1216558-EIT-330803,"Clover, TWP of - EIT",SCHOOL
PA,TAX5876,42-003-1215834-LST-020603,"Springdale, TWP of - LST",MUNICIPAL
PA,TAX5876,42-003-1215834-LST-020603,"Springdale, TWP of - LST",SCHOOL
PA,TAX6744,42-091-1216884-LST-461602,"Whitemarsh, TWP of - LST",MUNICIPAL
PA,TAX6744,42-091-1216884-LST-461602,"Whitemarsh, TWP of - LST",SCHOOL
PA,TAX2831,42-119-1215632-LST-604003,"Lewisburg, BORO of - LST",MUNICIPAL
PA,TAX2831,42-119-1215632-LST-604003,"Lewisburg, BORO of - LST",SCHOOL
PA,TAX3721,42-125-1217199-LST-630903,"North Bethlehem, TWP of - LST",MUNICIPAL
PA,TAX3721,42-125-1217199-LST-630903,"North Bethlehem, TWP of - LST",SCHOOL
PA,TAX1901,42-115-1217085-EIT-584603,"Harford, TWP of - EIT",MUNICIPAL
PA,TAX1901,42-115-1217085-EIT-584603,"Harford, TWP of - EIT",SCHOOL
PA,TAX6314,42-003-1215836-EIT-029203,"Upper Saint Clair, TWP of-EIT",MUNICIPAL
PA,TAX6314,42-003-1215836-EIT-029203,"Upper Saint Clair, TWP of-EIT",SCHOOL
PA,TAX1324,42-003-1214790-EIT-029902,"East Pittsburgh, BORO of-EIT",MUNICIPAL
PA,TAX1324,42-003-1214790-EIT-029902,"East Pittsburgh, BORO of-EIT",SCHOOL
PA,TAX1964,42-011-1215927-EIT-061103,"Heidelberg, TWP of - EIT (061103)",MUNICIPAL
PA,TAX1964,42-011-1215927-EIT-061103,"Heidelberg, TWP of - EIT (061103)",SCHOOL
PA,TAX5739,42-027-1216137-EIT-141003,"Snow Shoe, TWP of - EIT",MUNICIPAL
PA,TAX5739,42-027-1216137-EIT-141003,"Snow Shoe, TWP of - EIT",SCHOOL
PA,TAX77,42-021-1216072-LST-116003,"Allegheny, TWP of - LST (116003)",MUNICIPAL
PA,TAX77,42-021-1216072-LST-116003,"Allegheny, TWP of - LST (116003)",SCHOOL
PA,TAX1721,42-051-1216435-LST-260303,"German, TWP of - LST (260303)",MUNICIPAL
PA,TAX1721,42-051-1216435-LST-260303,"German, TWP of - LST (260303)",SCHOOL
PA,TAX5650,42-085-1215449-LST-431304,"Sheakleyville, BORO of - LST",MUNICIPAL
PA,TAX5650,42-085-1215449-LST-431304,"Sheakleyville, BORO of - LST",SCHOOL
PA,TAX2261,42-019-1216057-LST-107903,"Jackson, TWP of - LST (107903)",MUNICIPAL
PA,TAX2261,42-019-1216057-LST-107903,"Jackson, TWP of - LST (107903)",SCHOOL
PA,TAX1960,42-107-1217003-EIT-547803,"Hegins, TWP of - EIT",MUNICIPAL
PA,TAX1960,42-107-1217003-EIT-547803,"Hegins, TWP of - EIT",SCHOOL
PA,TAX746,42-033-1215095-LST-177003,"Chester Hill, BORO of - LST",MUNICIPAL
PA,TAX746,42-033-1215095-LST-177003,"Chester Hill, BORO of - LST",SCHOOL
PA,TAX1899,42-049-1216416-EIT-254353,"Harborcreek, TWP of - EIT",MUNICIPAL
PA,TAX1899,42-049-1216416-EIT-254353,"Harborcreek, TWP of - EIT",SCHOOL
PA,TAX756,42-033-1216229-LST-173504,"Chest, TWP of - LST (173504)",MUNICIPAL
PA,TAX756,42-033-1216229-LST-173504,"Chest, TWP of - LST (173504)",SCHOOL
PA,TAX1231,42-031-1215083-LST-103603,"East Brady, BORO of - LST",MUNICIPAL
PA,TAX1231,42-031-1215083-LST-103603,"East Brady, BORO of - LST",SCHOOL
PA,TAX1402,42-123-1217162-LST-628302,"Eldred, TWP of - LST (628302)",MUNICIPAL
PA,TAX1402,42-123-1217162-LST-628302,"Eldred, TWP of - LST (628302)",SCHOOL
PA,TAX6331,42-021-1216097-LST-118503,"Upper Yoder, TWP of - LST",MUNICIPAL
PA,TAX6331,42-021-1216097-LST-118503,"Upper Yoder, TWP of - LST",SCHOOL
PA,TAX1935,42-091-1216855-EIT-465702,"Hatfield, TWP of - EIT",MUNICIPAL
PA,TAX1935,42-091-1216855-EIT-465702,"Hatfield, TWP of - EIT",SCHOOL
PA,TAX212,42-011-1214908-EIT-060753,"Bally, BORO of - EIT",MUNICIPAL
PA,TAX212,42-011-1214908-EIT-060753,"Bally, BORO of - EIT",SCHOOL
PA,TAX3473,42-071-1215344-LST-362203,"Mount Joy, BORO of - LST",MUNICIPAL
